n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
6239,2546,3545,4314,5154,3362,7497,1445,2461,5779,1296,6966,7172,8489,6466,2864,3222,2274,8047,113.71,46.82,46.07961020062662
2781,8227,7326,9392,5636,279,2376,7108,4388,9227,8089,8235,8783,3550,9098,3928,2754,6874,9048,75.83,39.83,39.05132646871058
4117,5136,4810,1766,3212,4246,6969,5858,8458,4335,7973,1413,1908,1810,5511,1571,1686,4662,9543,107.37,49.11,49.00600741311521
2930,816,8897,6293,2821,5483,4270,1635,6690,5395,1571,5110,1055,4795,5523,6726,6693,1027,1084,116.49,48.67,48.49801245040052
4938,1128,2951,645,1548,8296,6661,1706,7565,6818,1174,3705,6909,440,9256,8866,4751,1767,8381,134.21,53.77,55.981418555826195
5296,5933,1241,7636,6230,1683,2788,4031,1880,8804,1557,1371,8892,6235,7167,1882,4459,5020,9026,106.09,48.83,49.04811954485091
7436,7010,641,3428,8432,2190,6254,2963,3144,5336,8667,1166,2285,5015,877,7634,5020,7261,9058,99.41,49.11,49.546817207171415
9404,8194,4191,4655,2720,4198,7482,7709,6618,9910,1611,2198,9764,3321,7489,1681,7294,3833,2185,98.47,45.4,46.93932188517495
4091,2747,1470,7313,4211,7601,2673,7894,1723,4881,9508,4126,5837,860,8888,9100,2003,3385,388,107.49,49.05,49.92884970502457
5512,9463,9694,7885,8007,8541,9893,4621,9918,5468,948,4728,2176,8583,6882,4820,6793,6069,2101,88.44,42.88,42.57535789879599
4748,3189,537,17,7986,2615,5119,6840,4622,6894,9690,7552,5568,8588,8276,5371,232,2610,9452,143.92,63.48,62.76478235810935
8102,19,8831,7909,7629,6114,707,3725,8769,33,7841,1957,3318,2768,2799,8311,3902,6543,1674,254.05,106.17,107.22766015297951
6306,6842,3752,4485,165,3359,3864,9525,1096,8253,6113,7124,9538,5020,3653,1536,6107,9135,9777,134.53,56.83,55.06968854830686
9027,7283,1008,4267,8693,43,2415,6975,931,7594,237,3105,3110,1741,2821,7505,7183,7690,7808,149.19,64.2,65.2644601307912
4736,8548,1221,406,7623,9899,3348,332,7273,8231,3298,1082,5569,3292,1640,8750,6051,1461,2820,130.15,54.75,54.40648396605335
3607,6481,53,549,7023,949,4915,3072,6369,6413,2720,1875,6289,3078,3555,2161,6596,7389,2413,175.72,67.28,69.7135872358571
6696,431,4487,7466,8598,3298,4369,1508,3812,6922,6817,9186,7264,3125,3319,5365,9536,4101,756,116.71,48.39,47.1166405821118
3147,8740,2639,5990,1551,9922,7094,5937,2357,4718,2983,112,8916,2439,6968,1719,98,9010,7644,168.74,61.81,61.77324664686974
5343,1307,7991,2464,6022,111,958,9860,6056,7826,4336,9364,7393,5393,9961,8797,6757,2796,6442,122.79,52.63,53.046055930878076
6987,9154,7214,270,3762,7870,4827,1789,8422,1161,8797,7931,3598,1363,9738,5142,1545,1327,5329,100.68,44.43,44.73694290378298
6673,2852,5254,5740,683,5071,2023,8501,1351,1393,666,7980,8407,7692,3546,7258,4977,2476,6949,126.14,53.81,53.42920853353962
4558,7364,9378,1165,8465,3990,4755,1488,9666,4957,1193,6169,4781,6777,1571,2617,5665,6945,1440,104.17,46.12,46.78022416948023
5611,3424,5835,1702,7563,5325,1610,8135,5375,580,7419,952,9747,3736,4679,5070,4330,7535,8231,106.39,49.61,48.891740875027516
8617,5681,8410,8304,1532,8362,9334,7396,6766,3216,6643,6984,2031,2157,1037,7193,5288,621,5013,118.37,53.03,51.16172308178731
5983,6898,9884,9674,1773,2873,153,7305,2345,5002,678,9302,1782,9662,782,1105,1334,4831,4786,125.99,51.91,52.31156164392915
4661,7077,3800,560,7102,7480,4858,2648,5442,8650,8356,9239,6477,7638,7579,633,2906,5988,7774,110.53,49.28,47.8814762746867
5235,1450,1823,7170,4478,6070,5570,1889,6393,6585,7362,4335,2132,2368,8884,7499,5854,4553,2967,107.5,43.88,43.46966260778805
2840,6744,155,6586,5168,4183,3191,2549,7165,8452,7446,1939,4691,6195,581,3179,3171,6648,3992,145.06,56.68,53.83149472760821
8181,9517,8250,430,1856,9085,5020,1625,5549,5518,5695,2659,206,744,3214,8184,541,4478,7789,142.25,59.8,58.717597560055495
8618,3356,747,3673,5408,5151,3621,6031,7471,277,532,1999,3143,1780,5108,1959,4058,1070,1800,143.22,57.05,57.82725165430341
9576,5750,5524,4177,6730,2770,4423,5017,1071,6411,2874,3949,8045,171,4992,7697,3805,904,9128,107.79,44.44,45.00850008246238
3576,6280,9391,1589,4627,7937,597,4259,58,7497,2414,1968,1320,4051,5238,6031,3950,7978,108,168.4,70.33,70.60087662253056
31,9705,5279,8549,6433,5787,5196,4387,3531,9567,4837,7422,2450,146,9697,9576,3255,3736,90,218.23,80.26,81.08111151716673
