n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,monte_carlo,monte_carlo_max_hop,two_hop
5163,4089,5622,7228,3701,4261,5638,2659,4995,278,5838,9397,8839,6690.1,102.73,103.75000000000006
953,2477,5790,360,8046,1004,402,3956,736,203,3699,5352,1090,6670.94,205.41,197.56000000000023
1022,5651,6924,2225,3547,7355,7130,2327,5866,5111,2898,5387,6695,6707.22,118.33,121.57000000000015
6269,157,6705,4321,8744,8705,7580,687,9252,2008,6699,6394,2806,6683.85,140.53,138.99000000000015
50,8201,2264,8420,2427,1304,5407,3889,2888,4043,360,2766,9198,6701.11,210.31,216.03000000000017
2757,1285,6998,9795,1698,7495,2458,9862,656,4136,5574,6168,446,6689.84,141.39,147.05000000000024
595,8132,1468,5871,4796,2470,7505,3869,8313,5829,2658,6630,5531,6693.77,117.16,123.10000000000012
4421,8066,6432,242,5091,8689,4722,9018,7682,572,8712,9347,9045,6688.89,113.33,119.56000000000012
4299,627,7469,6472,1966,6615,5678,8126,838,338,4473,561,4160,6681.91,143.0,151.73000000000016
9535,4747,3393,8671,8458,5575,6325,4106,3423,1900,9273,5397,3975,6696.61,106.7,106.6400000000001
9603,8729,5789,2663,2507,5417,148,9583,839,9254,2558,5645,5950,6684.45,141.62,147.94000000000023
4770,4807,5292,8107,6613,9841,7061,2785,16,2306,9315,714,7239,6690.71,269.42,282.54000000000025
2061,5592,152,7871,4220,3074,1150,8992,6944,4566,2848,8675,2782,6683.46,145.25,146.19000000000008
1036,2578,9497,1803,8256,8903,9913,6302,7121,4354,5101,4668,223,6691.73,119.33,122.30000000000013
7023,4594,4230,8812,8638,9085,5208,5607,3112,7072,2321,97,8377,6701.72,146.06,150.28000000000014
2544,9228,6293,5913,7604,595,9201,6744,3740,257,5934,8668,2597,6693.39,137.61,140.7200000000001
3186,5807,8142,313,4082,9364,3966,4496,3033,6880,1276,9390,7342,6688.42,109.48,112.69000000000005
3878,7367,8337,1645,3084,2694,7217,1068,6991,6467,4454,4140,7163,6682.81,112.69,115.44000000000015
