n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,monte_carlo,monte_carlo_max_hop,two_hop
7244,2833,9254,2757,4022,7913,3426,3529,5976,9983,3806,2879,8694,6459,9804,8839,6955,9793,2903,3282.43,66.84,67.01000000000006
4944,7247,6134,917,1287,8787,7489,8030,294,9486,2891,4398,8515,6874,8108,3635,6375,8202,7951,3310.38,73.33,73.64000000000007
5668,6654,7915,2928,1881,6867,5552,2363,9559,5264,1763,5718,8652,2401,4881,7828,8836,2489,7317,3291.85,60.57,61.53000000000003
6141,8072,685,9548,5690,3327,1532,9053,9713,4960,9570,4727,8871,5299,6720,4772,177,6929,9153,3274.92,92.38,91.21000000000011
5745,6926,7844,6062,9292,2973,4093,4839,3097,9216,6316,1795,5309,9075,2655,5237,7961,2826,8866,3276.68,56.35,58.50000000000002
6461,7624,3214,6689,9057,9443,5991,1751,897,9937,7901,3302,2716,8275,2738,1952,1651,9044,8806,3302.17,76.82,77.00000000000016
1921,6343,9123,8446,5170,6509,4492,1082,7856,4527,5148,3775,4273,1920,3469,1803,7810,6085,7111,3310.93,82.11,86.10000000000011
2416,4297,6050,3048,4336,9360,8368,3268,3652,4046,4233,5695,5623,1752,1614,2218,1366,3692,7488,3317.87,71.41,70.32000000000001
5471,1881,5353,2324,2707,698,8042,4414,8336,2179,6101,7227,7014,8260,9269,9407,7006,7044,4218,3302.33,81.23,79.44000000000011
4838,8915,4461,9595,6358,2520,763,515,2784,7067,24,3462,2148,8272,3398,6103,4211,712,9120,3273.97,99.72,103.41000000000007
9235,5866,3320,1933,2596,3562,1209,7939,7008,4729,2448,1912,8913,5518,9892,2640,4244,2241,1421,3297.31,82.33,83.23000000000006
1309,2262,1562,116,1356,8496,6402,7467,9058,7253,4314,2885,32,1146,4612,6804,2798,111,535,3274.16,148.03,147.66000000000017
5514,8490,5370,5927,1664,725,3463,6364,190,8775,7292,5351,3679,7227,7412,3876,94,5657,3520,3285.82,118.87,125.02000000000015
3766,2584,6813,6426,1571,6479,5172,9385,1878,8937,9788,3993,4751,1582,406,6653,434,9640,5554,3292.01,80.32,81.11000000000001
3658,3218,7440,9322,8365,4347,9852,6247,3426,8546,9604,6988,5053,1030,2912,7406,8193,8691,1633,3286.53,75.21,77.92000000000007
4654,9535,2424,7186,8510,2066,5054,8550,2755,3701,6000,8619,4837,2000,1198,8183,1116,7858,4057,3295.34,80.98,81.03000000000013
6786,333,189,377,7758,77,953,8326,7865,219,785,5643,4855,4992,7743,8051,4922,4997,2174,3297.18,132.02,128.40000000000012
5062,9227,1451,6648,718,1862,3138,3890,1367,2597,6414,8698,8330,2275,2695,1354,4930,8395,8372,3291.14,75.4,73.47000000000008
101,8124,1119,5935,8188,1405,6909,5451,9183,6404,7109,7625,5625,9857,473,5290,5007,7883,4229,3282.35,92.74,93.22000000000011
7752,4206,3368,5859,1596,4288,7846,6893,7812,3322,5520,9830,958,3924,9577,796,6587,3956,6314,3294.52,84.65,83.33000000000006
2975,5229,1606,2926,8215,7408,4180,7067,6904,9254,9452,5573,6178,7062,655,5972,6460,5957,6413,3296.84,68.68,71.18000000000004
4464,8617,3596,2261,3739,3222,9926,507,6771,1700,9902,6571,7836,7832,6201,8238,8242,9151,7090,3304.55,85.58,85.42000000000012
